p,lambda,alpha,K_structure,solver,starting_point,tolerance,m,status,time,f_end,error
10,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.036000000000001364,2.7271029785024834,NA
10,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.03399999999999892,2.7271029785024834,NA
50,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.12099999999999511,15.384098120966158,NA
50,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.12300000000000466,15.384098120966158,NA
100,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.9110000000000014,30.791575522358286,NA
100,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.8850000000000051,30.791575522358286,NA
150,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,2.5159999999999982,41.62692872089043,NA
150,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,2.509999999999998,41.62692872089043,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,5.0859999999999985,75.51864023673015,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,4.969000000000001,75.51864023673015,NA
10,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.016999999999995907,3.7993317686798385,NA
10,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.015000000000000568,3.7993317686798385,NA
50,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.07199999999999562,19.146384672789505,NA
50,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.07000000000000028,19.146384672789505,NA
100,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.49799999999999756,34.48575658372055,NA
100,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.4519999999999982,34.48575658372055,NA
150,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,1.7190000000000012,45.19830254685462,NA
150,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,1.7720000000000056,45.19830254685462,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,2.797000000000004,79.16587517384457,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,3.1470000000000056,79.16587517384457,NA
10,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.009000000000000341,6.3803665170577295,NA
10,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.009000000000000341,6.3803665170577295,NA
50,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.04700000000000415,28.691245927980095,NA
50,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.046999999999997044,28.691245927980095,NA
100,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.32499999999999574,54.037999780146194,NA
100,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.32200000000000273,54.037999780146194,NA
150,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,1.1880000000000024,76.94770414103468,NA
150,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,1.0350000000000037,76.94770414103468,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,1.7049999999999983,111.35418694842139,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,1.7139999999999986,111.35418694842139,NA
10,0.2,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.009000000000000341,7.117249427897605,NA
10,0.2,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.009000000000000341,7.117249427897605,NA
50,0.2,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.031999999999996476,30.12805270190114,NA
50,0.2,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.03599999999999426,30.12805270190114,NA
100,0.2,0.5,hub_1,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.4280000000000044,56.265672014886505,NA
