p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.1,0,AR2,pcglasso,C,9.999999999999982e-9,0.019700000000034378,7.243017995265727
10,0.1,0,AR2,pcglasso,C,3.5111917342151263e-8,0.01846250000010059,7.243017983382435
10,0.1,0,AR2,pcglasso,C,1.2328467394420646e-7,0.016812499999991813,7.243018025992904
10,0.1,0,AR2,pcglasso,C,4.328761281083054e-7,0.014300000000025648,7.243018787299703
10,0.1,0,AR2,pcglasso,C,1.5199110829529328e-6,0.013112500000033833,7.243024541509983
10,0.1,0,AR2,pcglasso,C,5.336699231206308e-6,0.010924999999963348,7.243109083064619
10,0.1,0,AR2,pcglasso,C,1.873817422860384e-5,0.008312499999993861,7.243961949273018
10,0.1,0,AR2,pcglasso,C,6.579332246575681e-5,0.00537499999999227,7.256693411307989
10,0.1,0,AR2,pcglasso,C,2.310129700083161e-4,0.0032625000000109593,7.337858827266761
10,0.1,0,AR2,pcglasso,C,8.11130830789687e-4,0.002412499999996953,7.93776216811194
10,0.1,0,AR2,pcglasso,C,0.002848035868435802,0.0020125000000049908,7.883046182264242
10,0.1,0,AR2,pcglasso,C,0.010000000000000004,0.0021749999999965295,7.883046182264242
10,0.1,0,AR2,pcglasso,I,9.999999999999982e-9,0.027675000000135695,7.243017978212006
10,0.1,0,AR2,pcglasso,I,3.5111917342151263e-8,0.019574999999895225,7.243017979934402
10,0.1,0,AR2,pcglasso,I,1.2328467394420646e-7,0.017612500000086583,7.2430180150958225
10,0.1,0,AR2,pcglasso,I,4.328761281083054e-7,0.014962500000069667,7.243019018028551
10,0.1,0,AR2,pcglasso,I,1.5199110829529328e-6,0.013612499999953797,7.24302423945016
10,0.1,0,AR2,pcglasso,I,5.336699231206308e-6,0.011525000000142427,7.243126765203474
10,0.1,0,AR2,pcglasso,I,1.873817422860384e-5,0.008449999999993452,7.244291897177638
10,0.1,0,AR2,pcglasso,I,6.579332246575681e-5,0.005600000000032424,7.255907903611943
10,0.1,0,AR2,pcglasso,I,2.310129700083161e-4,0.004275000000035334,7.275522675378233
10,0.1,0,AR2,pcglasso,I,8.11130830789687e-4,0.002574999999984584,7.591375744169375
10,0.1,0,AR2,pcglasso,I,0.002848035868435802,0.002537500000002524,7.649492975565243
10,0.1,0,AR2,pcglasso,I,0.010000000000000004,0.0023999999999993805,7.587589015819306
10,0.1,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,0.009512500000073486,7.243017983003015
10,0.1,0,AR2,pcglassoFast_Dual,C,3.5111917342151263e-8,0.00917500000000473,7.243017992236765
10,0.1,0,AR2,pcglassoFast_Dual,C,1.2328467394420646e-7,0.009112500000060208,7.243018024707366
10,0.1,0,AR2,pcglassoFast_Dual,C,4.328761281083054e-7,0.008637499999986175,7.243018121372387
10,0.1,0,AR2,pcglassoFast_Dual,C,1.5199110829529328e-6,0.008437500000059116,7.243018408259095
10,0.1,0,AR2,pcglassoFast_Dual,C,5.336699231206308e-6,0.007662500000003547,7.243020981376881
10,0.1,0,AR2,pcglassoFast_Dual,C,1.873817422860384e-5,0.006962500000008731,7.243031281624255
10,0.1,0,AR2,pcglassoFast_Dual,C,6.579332246575681e-5,0.006412499999999,7.243047259593419
10,0.1,0,AR2,pcglassoFast_Dual,C,2.310129700083161e-4,0.006074999999998454,7.243095336572976
10,0.1,0,AR2,pcglassoFast_Dual,C,8.11130830789687e-4,0.005675000000010755,7.243225182522995
10,0.1,0,AR2,pcglassoFast_Dual,C,0.002848035868435802,0.004912499999997521,7.244664914984251
10,0.1,0,AR2,pcglassoFast_Dual,C,0.010000000000000004,0.004650000000003729,7.246249348057965
10,0.1,0,AR2,pcglassoFast_Dual,I,9.999999999999982e-9,0.007987500000103865,7.243017981781065
10,0.1,0,AR2,pcglassoFast_Dual,I,3.5111917342151263e-8,0.00852500000003147,7.243017999671586
10,0.1,0,AR2,pcglassoFast_Dual,I,1.2328467394420646e-7,0.008087500000078763,7.243018032503829
10,0.1,0,AR2,pcglassoFast_Dual,I,4.328761281083054e-7,0.007837500000039199,7.243018117271056
10,0.1,0,AR2,pcglassoFast_Dual,I,1.5199110829529328e-6,0.0071750000000065485,7.243018943607441
10,0.1,0,AR2,pcglassoFast_Dual,I,5.336699231206308e-6,0.007024999999998727,7.243020315855906
10,0.1,0,AR2,pcglassoFast_Dual,I,1.873817422860384e-5,0.006049999999981992,7.2430286892990035
10,0.1,0,AR2,pcglassoFast_Dual,I,6.579332246575681e-5,0.005512500000008913,7.24304227951818
10,0.1,0,AR2,pcglassoFast_Dual,I,2.310129700083161e-4,0.004837500000016348,7.243145870144673
10,0.1,0,AR2,pcglassoFast_Dual,I,8.11130830789687e-4,0.004812500000011255,7.243096196478078
10,0.1,0,AR2,pcglassoFast_Dual,I,0.002848035868435802,0.0042500000000003976,7.2442063061708915
10,0.1,0,AR2,pcglassoFast_Dual,I,0.010000000000000004,0.0037250000000064176,7.246885710601845
10,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,0.012175000000024739,7.2430179919581015
10,0.1,0,AR2,pcglassoFast_Primal,C,3.5111917342151263e-8,0.011774999999965985,7.243018014947476
10,0.1,0,AR2,pcglassoFast_Primal,C,1.2328467394420646e-7,0.01125000000001819,7.243018084248974
10,0.1,0,AR2,pcglassoFast_Primal,C,4.328761281083054e-7,0.010425000000054752,7.2430185399520735
10,0.1,0,AR2,pcglassoFast_Primal,C,1.5199110829529328e-6,0.009999999999968168,7.243019613160642
10,0.1,0,AR2,pcglassoFast_Primal,C,5.336699231206308e-6,0.009575000000000954,7.2430227575610235
10,0.1,0,AR2,pcglassoFast_Primal,C,1.873817422860384e-5,0.008524999999968941,7.2430418950490285
10,0.1,0,AR2,pcglassoFast_Primal,C,6.579332246575681e-5,0.007762500000006866,7.2430880850632
10,0.1,0,AR2,pcglassoFast_Primal,C,2.310129700083161e-4,0.007150000000009982,7.243223338457296
10,0.1,0,AR2,pcglassoFast_Primal,C,8.11130830789687e-4,0.006187499999998636,7.2440375859930075
10,0.1,0,AR2,pcglassoFast_Primal,C,0.002848035868435802,0.005337499999995288,7.245963608899297
10,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,0.0038874999999997327,7.250662749998524
10,0.1,0,AR2,pcglassoFast_Primal,I,9.999999999999982e-9,0.007399999999870488,7.243017987191287
10,0.1,0,AR2,pcglassoFast_Primal,I,3.5111917342151263e-8,0.007537500000057662,7.243018022312101
