p,cor_modifier,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.8,0.1,0,line,pcglasso,C,9.999999999999982e-9,0.04400000000001114,5.521837048833088
10,0.8,0.1,0,line,pcglasso,C,3.5111917342151263e-8,0.040999999999968395,5.521837048833104
10,0.8,0.1,0,line,pcglasso,C,1.2328467394420646e-7,0.04200000000000159,5.521837048834087
10,0.8,0.1,0,line,pcglasso,C,4.328761281083054e-7,0.03899999999998727,5.5218370488461845
10,0.8,0.1,0,line,pcglasso,C,1.5199110829529328e-6,0.02750000000000341,5.521837048871686
10,0.8,0.1,0,line,pcglasso,C,5.336699231206308e-6,0.020000000000010232,5.521837049657667
10,0.8,0.1,0,line,pcglasso,C,1.873817422860384e-5,0.01300000000000523,5.5218370502522545
10,0.8,0.1,0,line,pcglasso,C,6.579332246575681e-5,0.018000000000029104,5.521837086483251
10,0.8,0.1,0,line,pcglasso,C,2.310129700083161e-4,0.009000000000014552,5.52183786257661
10,0.8,0.1,0,line,pcglasso,C,8.11130830789687e-4,0.0075000000000216005,5.5218409754799955
10,0.8,0.1,0,line,pcglasso,C,0.002848035868435802,0.006000000000000227,5.521878654922709
10,0.8,0.1,0,line,pcglasso,C,0.010000000000000004,0.009500000000002728,5.522190160532842
10,0.8,0.1,0,line,pcglasso,I,9.999999999999982e-9,0.044999999999987494,5.521837048833088
10,0.8,0.1,0,line,pcglasso,I,3.5111917342151263e-8,0.04200000000000159,5.521837048833133
10,0.8,0.1,0,line,pcglasso,I,1.2328467394420646e-7,0.03900000000001569,5.521837048833746
10,0.8,0.1,0,line,pcglasso,I,4.328761281083054e-7,0.04100000000002524,5.521837048835659
10,0.8,0.1,0,line,pcglasso,I,1.5199110829529328e-6,0.030000000000001137,5.521837048951255
10,0.8,0.1,0,line,pcglasso,I,5.336699231206308e-6,0.021500000000003183,5.521837060804874
10,0.8,0.1,0,line,pcglasso,I,1.873817422860384e-5,0.017499999999984084,5.521837049899837
10,0.8,0.1,0,line,pcglasso,I,6.579332246575681e-5,0.014000000000010004,5.5218371414555065
10,0.8,0.1,0,line,pcglasso,I,2.310129700083161e-4,0.011000000000024102,5.521838095263525
10,0.8,0.1,0,line,pcglasso,I,8.11130830789687e-4,0.010499999999979082,5.521845218434809
10,0.8,0.1,0,line,pcglasso,I,0.002848035868435802,0.008499999999969532,5.521892231169676
10,0.8,0.1,0,line,pcglasso,I,0.010000000000000004,0.007499999999993179,5.522133776593926
10,0.8,0.1,0,line,pcglasso_cpp,C,9.999999999999982e-9,0.008499999999997954,5.521837064122154
10,0.8,0.1,0,line,pcglasso_cpp,C,3.5111917342151263e-8,0.01300000000000523,5.521837100833234
10,0.8,0.1,0,line,pcglasso_cpp,C,1.2328467394420646e-7,0.007499999999964757,5.5218372243693565
10,0.8,0.1,0,line,pcglasso_cpp,C,4.328761281083054e-7,0.0069999999999765805,5.521837642456687
10,0.8,0.1,0,line,pcglasso_cpp,C,1.5199110829529328e-6,0.005499999999983629,5.5218399909570675
10,0.8,0.1,0,line,pcglasso_cpp,C,5.336699231206308e-6,0.006000000000000227,5.52184718013169
10,0.8,0.1,0,line,pcglasso_cpp,C,1.873817422860384e-5,0.0049999999999954525,5.521860305584872
10,0.8,0.1,0,line,pcglasso_cpp,C,6.579332246575681e-5,0.004000000000019099,5.521893614892503
10,0.8,0.1,0,line,pcglasso_cpp,C,2.310129700083161e-4,0.003999999999962256,5.521931027033173
10,0.8,0.1,0,line,pcglasso_cpp,C,8.11130830789687e-4,0.003500000000030923,5.522753148036991
10,0.8,0.1,0,line,pcglasso_cpp,C,0.002848035868435802,0.0024999999999977263,5.525740840853078
10,0.8,0.1,0,line,pcglasso_cpp,C,0.010000000000000004,0.0024999999999693046,5.532114419004129
