"p","structure","solver","start","tol_found"
10,"hub","pcglasso_cpp","C",1e-05
10,"line","pcglasso_cpp","C",1e-05
50,"hub","pcglasso_cpp","C",1e-04
50,"line","pcglasso_cpp","C",1e-05
100,"hub","pcglasso_cpp","C",1e-05
100,"line","pcglasso_cpp","C",1e-04
150,"hub","pcglasso_cpp","C",1e-05
150,"line","pcglasso_cpp","C",1e-04
200,"hub","pcglasso_cpp","C",1e-05
200,"line","pcglasso_cpp","C",1e-04
10,"hub","pcglasso_fortran","C",1e-07
10,"line","pcglasso_fortran","C",1e-04
50,"hub","pcglasso_fortran","C",1e-07
50,"line","pcglasso_fortran","C",1e-05
100,"hub","pcglasso_fortran","C",1e-05
100,"line","pcglasso_fortran","C",1e-04
150,"hub","pcglasso_fortran","C",1e-06
150,"line","pcglasso_fortran","C",1e-04
200,"hub","pcglasso_fortran","C",1e-05
200,"line","pcglasso_fortran","C",1e-05
10,"hub","pcglasso","C",0.001
10,"line","pcglasso","C",0.001
50,"hub","pcglasso","C",1e-04
50,"line","pcglasso","C",0.001
100,"hub","pcglasso","C",1e-04
100,"line","pcglasso","C",1e-04
150,"hub","pcglasso","C",0.001
150,"line","pcglasso","C",1e-04
200,"hub","pcglasso","C",1e-04
200,"line","pcglasso","C",1e-04
10,"hub","pcglasso_cpp","I",1e-05
10,"line","pcglasso_cpp","I",1e-05
50,"hub","pcglasso_cpp","I",1e-05
50,"line","pcglasso_cpp","I",1e-05
100,"hub","pcglasso_cpp","I",1e-05
100,"line","pcglasso_cpp","I",1e-04
150,"hub","pcglasso_cpp","I",1e-05
150,"line","pcglasso_cpp","I",1e-04
200,"hub","pcglasso_cpp","I",1e-05
200,"line","pcglasso_cpp","I",1e-04
10,"hub","pcglasso_fortran","I",1e-05
10,"line","pcglasso_fortran","I",1e-05
50,"hub","pcglasso_fortran","I",1e-06
50,"line","pcglasso_fortran","I",1e-05
100,"hub","pcglasso_fortran","I",1e-06
100,"line","pcglasso_fortran","I",1e-04
150,"hub","pcglasso_fortran","I",1e-05
150,"line","pcglasso_fortran","I",1e-04
200,"hub","pcglasso_fortran","I",1e-05
200,"line","pcglasso_fortran","I",1e-04
10,"hub","pcglasso","I",0.001
10,"line","pcglasso","I",0.001
50,"hub","pcglasso","I",1e-04
50,"line","pcglasso","I",1e-04
100,"hub","pcglasso","I",1e-04
100,"line","pcglasso","I",1e-04
150,"hub","pcglasso","I",0.001
150,"line","pcglasso","I",1e-04
200,"hub","pcglasso","I",0.001
200,"line","pcglasso","I",1e-04
