"p","structure","solver","start","tol_found","run_id","time","f_end","gap","success"
10,"hub","pcglasso_cpp","C",1e-05,1,0.628999999999998,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,2,0.604999999999997,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,3,0.627000000000002,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,4,0.537000000000006,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,5,2.325,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,6,1.109,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,7,1.073,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,8,2.47000000000001,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,9,0.716000000000001,2.47833623911544,1.87098685144882e-05,TRUE
10,"hub","pcglasso_cpp","C",1e-05,10,0.936999999999998,2.47833623911544,1.87098685144882e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,1,0.384999999999998,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,2,0.269000000000005,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,3,0.244,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,4,0.361000000000004,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,5,0.243000000000002,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,6,0.230999999999995,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,7,0.229999999999997,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,8,0.241999999999997,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,9,0.222000000000001,5.99147080130616,2.18933088511619e-05,TRUE
10,"line","pcglasso_cpp","C",1e-05,10,0.250999999999998,5.99147080130616,2.18933088511619e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,1,1.98999999999999,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,2,1.661,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,3,4.413,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,4,1.269,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,5,0.677999999999997,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,6,0.683,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,7,4.311,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,8,4.197,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,9,1.10599999999999,15.8990479487723,3.53620756907702e-05,TRUE
50,"hub","pcglasso_cpp","C",1e-05,10,6.729,15.8990479487723,3.53620756907702e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,1,0.779999999999994,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,2,0.68,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,3,1.041,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,4,0.759999999999998,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,5,0.488,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,6,0.418000000000006,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,7,0.352000000000004,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,8,0.268000000000001,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,9,0.257000000000005,24.6396238558963,2.43015304377536e-05,TRUE
50,"line","pcglasso_cpp","C",1e-05,10,0.936999999999998,24.6396238558963,2.43015304377536e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,1,7.274,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,2,18.277,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,3,7.439,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,4,10.378,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,5,8.878,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,6,6.936,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,7,20.727,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,8,15.887,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,9,7.58,31.0791611796439,7.01000305909361e-05,TRUE
100,"hub","pcglasso_cpp","C",1e-05,10,13.697,31.0791611796439,7.01000305909361e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,1,3.325,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,2,4.171,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,3,0.634999999999998,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,4,6.97,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,5,1.625,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,6,2.64400000000001,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,7,1.332,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,8,7.729,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,9,2.043,53.3323661046619,1.05733516733153e-05,TRUE
100,"line","pcglasso_cpp","C",1e-05,10,3.30399999999999,53.3323661046619,1.05733516733153e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,1,24.045,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,2,24.722,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,3,21.56,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,4,12.413,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,5,12.056,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,6,48.859,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,7,22.63,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,8,29.159,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,9,46.688,46.0643025290541,5.23549940538715e-05,TRUE
150,"hub","pcglasso_cpp","C",1e-05,10,16.09,46.0643025290541,5.23549940538715e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,1,4.92,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,2,1.441,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,3,5.856,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,4,2.724,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,5,0.664000000000001,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,6,4.443,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,7,6.203,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,8,1.192,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,9,2.328,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,10,2.599,83.9376900965331,4.97854777705697e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,1,1.276,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,2,0.903000000000006,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,3,1.82,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,4,2.607,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,5,0.963000000000001,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,6,0.963999999999999,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,7,1.711,2.47834709589946,2.95666525262916e-05,TRUE
