"p","structure","solver","start","tol_found","time_trimmed_mean","success_rate"
10,"hub","pcglasso_cpp","C",1e-04,0.0669500000000005,1
10,"hub","pcglasso_cpp","I",1e-05,0.0227750000000036,1
10,"hub","pcglasso_fortran","C",1e-05,0.0316500000000007,1
10,"hub","pcglasso_fortran","I",1e-06,0.0445750000000025,1
10,"hub","pcglasso","C",0.001,0.0345000000000017,1
10,"hub","pcglasso","I",0.001,0.0180750000000103,1
10,"line","pcglasso_cpp","C",1e-05,0.1446,1
10,"line","pcglasso_cpp","I",1e-04,0.0149500000000025,1
10,"line","pcglasso_fortran","C",1e-05,0.0445250000000007,1
10,"line","pcglasso_fortran","I",1e-05,0.015925000000005,1
10,"line","pcglasso","C",0.001,0.0333749999999981,1
10,"line","pcglasso","I",0.001,0.0157499999999985,1
100,"hub","pcglasso_cpp","C",1e-05,3.5182,1
100,"hub","pcglasso_cpp","I",1e-05,2.481475,1
100,"hub","pcglasso_fortran","C",1e-05,8.79055,1
100,"hub","pcglasso_fortran","I",1e-05,9.6549,1
100,"hub","pcglasso","C",0.001,6.1865,1
100,"hub","pcglasso","I",0.001,7.00895,1
100,"line","pcglasso_cpp","C",1e-04,0.347375000000001,1
100,"line","pcglasso_cpp","I",1e-05,0.223349999999998,1
100,"line","pcglasso_fortran","C",1e-04,0.151075,1
100,"line","pcglasso_fortran","I",1e-05,0.0841499999999989,1
100,"line","pcglasso","C",0.001,0.561250000000002,1
100,"line","pcglasso","I",0.001,0.390550000000002,1
150,"hub","pcglasso_cpp","C",1e-05,11.6995,1
150,"hub","pcglasso_cpp","I",1e-05,7.7646,1
150,"hub","pcglasso_fortran","C",1e-05,16.242075,1
150,"hub","pcglasso_fortran","I",1e-05,44.88805,1
150,"hub","pcglasso","C",0.001,21.936475,1
150,"hub","pcglasso","I",0.001,33.030925,1
150,"line","pcglasso_cpp","C",1e-05,1.22545,1
150,"line","pcglasso_cpp","I",1e-04,0.572425,1
150,"line","pcglasso_fortran","C",1e-04,0.355599999999999,1
150,"line","pcglasso_fortran","I",1e-04,0.179075000000007,1
150,"line","pcglasso","C",1e-04,2.311475,1
150,"line","pcglasso","I",1e-04,1.699025,1
200,"hub","pcglasso_cpp","C",1e-04,14.739975,1
200,"hub","pcglasso_cpp","I",1e-05,13.223975,1
200,"hub","pcglasso_fortran","C",1e-06,35.2607,1
200,"hub","pcglasso_fortran","I",1e-05,53.70115,1
200,"hub","pcglasso","C",1e-04,59.898175,1
200,"hub","pcglasso","I",0.001,77.038,1
200,"line","pcglasso_cpp","C",1e-04,1.932925,1
200,"line","pcglasso_cpp","I",1e-04,1.051225,1
200,"line","pcglasso_fortran","C",1e-04,0.619000000000001,1
200,"line","pcglasso_fortran","I",1e-04,0.308625000000016,1
200,"line","pcglasso","C",1e-04,5.6813,1
200,"line","pcglasso","I",1e-04,3.42035000000001,1
50,"hub","pcglasso_cpp","C",1e-05,0.81835,1
50,"hub","pcglasso_cpp","I",1e-05,0.325250000000005,1
50,"hub","pcglasso_fortran","C",1e-06,2.787175,1
50,"hub","pcglasso_fortran","I",1e-05,1.358625,1
50,"hub","pcglasso","C",1e-04,1.236175,1
50,"hub","pcglasso","I",1e-04,1.1534,1
50,"line","pcglasso_cpp","C",1e-05,0.185124999999999,1
50,"line","pcglasso_cpp","I",1e-05,0.0567499999999981,1
50,"line","pcglasso_fortran","C",1e-05,0.0749000000000004,1
50,"line","pcglasso_fortran","I",1e-04,0.0251500000000014,1
50,"line","pcglasso","C",0.001,0.148450000000002,1
50,"line","pcglasso","I",0.001,0.0831749999999914,1
