p,lambda,alpha,K_structure,best_value
200,0.1,0,AR2,163.96660533791368
200,0.1,0.5,AR2,167.0540789038
200,0.2,0,AR2,188.5741273041774
200,0.2,0.5,AR2,169.29222414372697
200,0.1,0,hub_09,197.26435205104136
200,0.1,0.5,hub_09,169.31078643532203
200,0.2,0,hub_09,199.87192103316465
200,0.2,0.5,hub_09,169.3147180559942
200,0.1,0,hub_1,68.66445694162367
200,0.1,0.5,hub_1,107.79923020190273
200,0.2,0,hub_1,72.11594065149478
200,0.2,0.5,hub_1,110.60045643494306
200,0.1,0,random,146.15225784069457
200,0.1,0.5,random,156.3569115916535
200,0.2,0,random,159.60513128827068
200,0.2,0.5,random,161.00734388022184
150,0.1,0,AR2,122.25178896753008
150,0.1,0.5,AR2,125.30718463353428
150,0.2,0,AR2,141.48055978468284
150,0.2,0.5,AR2,126.96304239371815
150,0.1,0,hub_09,146.1006194925109
150,0.1,0.5,hub_09,126.88597968857721
150,0.2,0,hub_09,149.01359808845024
150,0.2,0.5,hub_09,126.98603854199578
150,0.1,0,hub_1,51.95700727263452
150,0.1,0.5,hub_1,82.02859505180389
150,0.2,0,hub_1,55.52797769305862
150,0.2,0.5,hub_1,84.44594901502374
150,0.1,0,random,117.07153892177664
150,0.1,0.5,random,121.06957517478973
150,0.2,0,random,127.92934170293555
150,0.2,0.5,random,124.4567905274231
100,0.1,0,AR2,78.8560202032977
100,0.1,0.5,AR2,83.35373860572795
100,0.2,0,AR2,93.19516973876742
100,0.2,0.5,AR2,84.61364580862147
100,0.1,0,hub_09,95.32609037059642
100,0.1,0.5,hub_09,84.53021724680703
100,0.2,0,hub_09,99.069970875909
100,0.2,0.5,hub_09,84.65735902799726
100,0.1,0,hub_1,29.035299868994006
100,0.1,0.5,hub_1,53.14306159066107
100,0.2,0,hub_1,32.70782352740102
100,0.2,0.5,hub_1,55.11620329876522
100,0.1,0,random,78.38977148008267
100,0.1,0.5,random,81.55895137179228
100,0.2,0,random,86.90534340994569
100,0.2,0.5,random,83.89820777480796
50,0.1,0,AR2,37.1814484442111
50,0.1,0.5,AR2,41.43733833044321
50,0.2,0,AR2,45.03496045407306
50,0.2,0.5,AR2,42.27867188525832
50,0.1,0,hub_09,43.58635746249692
50,0.1,0.5,hub_09,41.610870922358764
50,0.2,0,hub_09,47.30056847114895
50,0.2,0.5,hub_09,42.32745338198387
50,0.1,0,hub_1,13.020616999038383
50,0.1,0.5,hub_1,27.48120915676698
50,0.2,0,hub_1,16.644369707259163
50,0.2,0.5,hub_1,28.913686817478784
50,0.1,0,random,37.66778765758805
50,0.1,0.5,random,40.707048707805455
50,0.2,0,random,43.02520623100091
50,0.2,0.5,random,41.92571465323571
