p,lambda,alpha,K_structure,solver,starting_point,tolerance,m,status,time,f_end,error
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,21.348999999999997,68.66445710019707,NA
200,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,21.446999999999996,68.66445710019707,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,257.406,72.11594694918831,NA
200,0.2,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,254.33900000000003,72.11594694918831,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,84.69800000000001,107.79923205304065,NA
200,0.1,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,83.971,107.79923205304065,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,181.875,110.60045747160032,NA
200,0.2,0.5,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,175.502,110.60045747160032,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.5259999999999998,197.26435205158268,NA
200,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.5390000000000015,197.26435205158268,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,2.155000000000001,199.87192103561296,NA
200,0.2,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,2.154,199.87192103561296,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.870000000000001,169.3107864357541,NA
200,0.1,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.4000000000000021,169.3107864357541,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,0.8640000000000008,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,0.8509999999999991,169.31471805599455,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,2.588000000000001,163.96660534185673,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.6210000000000022,163.96660534185673,NA
200,0.2,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,2.527000000000001,188.57412730663145,NA
200,0.2,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,2.5040000000000013,188.57412730663145,NA
200,0.1,0.5,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.6729999999999983,167.05407890395892,NA
200,0.1,0.5,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.7040000000000006,167.05407890395892,NA
200,0.2,0.5,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,1.436,169.29222414379896,NA
200,0.2,0.5,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,1.4370000000000012,169.29222414379896,NA
200,0.1,0,random,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,32.912000000000006,146.1522586532408,NA
200,0.1,0,random,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,33.01,146.1522586532408,NA
200,0.2,0,random,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,26.703,159.60513167157765,NA
200,0.2,0,random,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,26.689999999999998,159.60513167157765,NA
200,0.1,0.5,random,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,16.463,156.35691170668287,NA
200,0.1,0.5,random,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,15.93,156.35691170668287,NA
200,0.2,0.5,random,pcglassoFast_Primal,C,9.999999999999982e-9,1,ok,14.400999999999996,161.00734395979956,NA
200,0.2,0.5,random,pcglassoFast_Primal,C,9.999999999999982e-9,2,ok,14.415000000000003,161.00734395979956,NA
200,0.1,0,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,42.232,68.66445700782455,NA
200,0.1,0,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,41.338,68.66445700782455,NA
200,0.2,0,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,6.739999999999998,72.1159406525806,NA
200,0.2,0,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,6.705000000000002,72.1159406525806,NA
200,0.1,0.5,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,144.684,107.79923023719005,NA
200,0.1,0.5,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,146.71,107.79923023719005,NA
200,0.2,0.5,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,5.151,110.60045643576814,NA
200,0.2,0.5,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,4.568999999999999,110.60045643576814,NA
200,0.1,0,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,1.9150000000000027,197.26435206529254,NA
200,0.1,0,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,1.1560000000000024,197.26435206529254,NA
200,0.2,0,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,1.4239999999999995,199.87192103429246,NA
200,0.2,0,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,0.8240000000000016,199.87192103429246,NA
200,0.1,0.5,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,1.538999999999998,169.31078643560028,NA
200,0.1,0.5,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,0.7959999999999994,169.31078643560028,NA
200,0.2,0.5,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,0.3000000000000007,169.31471805599452,NA
200,0.2,0.5,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,0.2839999999999989,169.31471805599452,NA
200,0.1,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,0.46300000000000097,163.9666053397728,NA
200,0.1,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,0.4660000000000011,163.9666053397728,NA
200,0.2,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,0.39400000000000546,188.5741273095197,NA
200,0.2,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,0.3990000000000009,188.5741273095197,NA
200,0.1,0.5,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,0.1979999999999933,167.0540789038921,NA
200,0.1,0.5,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,0.19700000000000273,167.0540789038921,NA
200,0.2,0.5,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,0.1640000000000157,169.29222414379754,NA
200,0.2,0.5,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,0.15900000000002024,169.29222414379754,NA
200,0.1,0,random,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,8.969000000000001,146.15225793740774,NA
200,0.1,0,random,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,11.178999999999998,146.15225793740774,NA
200,0.2,0,random,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,5.224,159.60513145119813,NA
200,0.2,0,random,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,5.380999999999997,159.60513145119813,NA
200,0.1,0.5,random,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,2.833000000000002,156.3569116446857,NA
200,0.1,0.5,random,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,3.2510000000000012,156.3569116446857,NA
200,0.2,0.5,random,pcglassoFast_Dual,C,9.999999999999982e-9,1,ok,3.5219999999999985,161.00734391266062,NA
200,0.2,0.5,random,pcglassoFast_Dual,C,9.999999999999982e-9,2,ok,3.442,161.00734391266062,NA
200,0.1,0,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,3.6400000000000006,68.66445698316859,NA
200,0.1,0,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,3.5199999999999996,68.66445698316859,NA
200,0.2,0,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,0.8030000000000008,72.11594065237809,NA
200,0.2,0,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,0.7880000000000003,72.11594065237809,NA
200,0.1,0.5,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,0.9149999999999991,107.79923020307511,NA
200,0.1,0.5,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,0.9170000000000016,107.79923020307511,NA
200,0.2,0.5,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,0.7910000000000004,110.60045643537697,NA
200,0.2,0.5,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,0.7630000000000017,110.60045643537697,NA
200,0.1,0,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,0.7490000000000023,197.26435205123673,NA
200,0.1,0,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,0.7420000000000044,197.26435205123673,NA
200,0.2,0,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,1.0330000000000013,199.87192103751457,NA
200,0.2,0,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,1.033999999999999,199.87192103751457,NA
200,0.1,0.5,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,0.8590000000000018,169.31078643574483,NA
200,0.1,0.5,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,0.847999999999999,169.31078643574483,NA
200,0.2,0.5,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,0.38299999999999557,169.31471805599452,NA
200,0.2,0.5,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,0.38000000000000256,169.31471805599452,NA
200,0.1,0,AR2,pcglassoFast_PrimalDual,C,9.999999999999982e-9,1,ok,2.4440000000000026,163.9666053987638,NA
200,0.1,0,AR2,pcglassoFast_PrimalDual,C,9.999999999999982e-9,2,ok,2.4410000000000025,163.9666053987638,NA
