p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_median,f_end
50,0.1,0,AR2,pcglasso,C,9.999999999999982e-9,0.12849999999980355,37.18144846037992
50,0.1,0,AR2,pcglasso,C,1.5848931924611096e-7,0.09699999999997999,37.18144874861069
50,0.1,0,AR2,pcglasso,C,2.5118864315095806e-6,0.07600000000002183,37.181529654298714
50,0.1,0,AR2,pcglasso,C,3.98107170553497e-5,0.03900000000021464,37.197203730073646
50,0.1,0,AR2,pcglasso,C,6.309573444801935e-4,0.009000000000014552,40.867894051065214
50,0.1,0,AR2,pcglasso,C,0.010000000000000004,0.006499999999959982,46.574345549651
50,0.1,0,AR2,pcglasso,I,9.999999999999982e-9,0.11900000000025557,37.181448447132055
50,0.1,0,AR2,pcglasso,I,1.5848931924611096e-7,0.09299999999996089,37.18144876802519
50,0.1,0,AR2,pcglasso,I,2.5118864315095806e-6,0.07000000000016371,37.18153018896098
50,0.1,0,AR2,pcglasso,I,3.98107170553497e-5,0.03499999999996817,37.19519786483615
50,0.1,0,AR2,pcglasso,I,6.309573444801935e-4,0.010999999999967258,37.781212436437
50,0.1,0,AR2,pcglasso,I,0.010000000000000004,0.005999999999858119,39.0858458156763
50,0.1,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,0.02599999999983993,37.18144845600822
50,0.1,0,AR2,pcglassoFast_Dual,C,1.5848931924611096e-7,0.023999999999887223,37.181448576270526
50,0.1,0,AR2,pcglassoFast_Dual,C,2.5118864315095806e-6,0.021000000000185537,37.181450123059705
50,0.1,0,AR2,pcglassoFast_Dual,C,3.98107170553497e-5,0.018000000000029104,37.181469843392605
50,0.1,0,AR2,pcglassoFast_Dual,C,6.309573444801935e-4,0.016000000000076398,37.181656917138
50,0.1,0,AR2,pcglassoFast_Dual,C,0.010000000000000004,0.012999999999919964,37.19103675188856
50,0.1,0,AR2,pcglassoFast_Dual,I,9.999999999999982e-9,0.021000000000185537,37.18144845439715
50,0.1,0,AR2,pcglassoFast_Dual,I,1.5848931924611096e-7,0.019000000000005457,37.18144855543856
50,0.1,0,AR2,pcglassoFast_Dual,I,2.5118864315095806e-6,0.016000000000076398,37.18144978983985
50,0.1,0,AR2,pcglassoFast_Dual,I,3.98107170553497e-5,0.012999999999919964,37.181471479791654
50,0.1,0,AR2,pcglassoFast_Dual,I,6.309573444801935e-4,0.010999999999967258,37.18176819346262
50,0.1,0,AR2,pcglassoFast_Dual,I,0.010000000000000004,0.010000000000104592,37.183706805445084
50,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,0.046500000000150976,37.181448450840776
50,0.1,0,AR2,pcglassoFast_Primal,C,1.5848931924611096e-7,0.03699999999980719,37.18144853170819
50,0.1,0,AR2,pcglassoFast_Primal,C,2.5118864315095806e-6,0.03099999999994907,37.181450951920034
50,0.1,0,AR2,pcglassoFast_Primal,C,3.98107170553497e-5,0.027499999999918145,37.18146847483736
50,0.1,0,AR2,pcglassoFast_Primal,C,6.309573444801935e-4,0.021999999999934516,37.18178238422822
50,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,0.016499999999950887,37.18835578610094
50,0.1,0,AR2,pcglassoFast_Primal,I,9.999999999999982e-9,0.04200000000003001,37.18144845432034
50,0.1,0,AR2,pcglassoFast_Primal,I,1.5848931924611096e-7,0.03499999999996817,37.181448651651735
50,0.1,0,AR2,pcglassoFast_Primal,I,2.5118864315095806e-6,0.028999999999996362,37.18145040736016
50,0.1,0,AR2,pcglassoFast_Primal,I,3.98107170553497e-5,0.02350000000012642,37.181485124687
50,0.1,0,AR2,pcglassoFast_Primal,I,6.309573444801935e-4,0.018000000000029104,37.18187348250002
50,0.1,0,AR2,pcglassoFast_Primal,I,0.010000000000000004,0.013000000000147338,37.18803889701466
50,0.1,0,AR2,pcglassoFast_PrimalDual,C,9.999999999999982e-9,0.054500000000189175,37.18144845055191
50,0.1,0,AR2,pcglassoFast_PrimalDual,C,1.5848931924611096e-7,0.04500000000007276,37.18144851424676
50,0.1,0,AR2,pcglassoFast_PrimalDual,C,2.5118864315095806e-6,0.04049999999983811,37.18144898293848
50,0.1,0,AR2,pcglassoFast_PrimalDual,C,3.98107170553497e-5,0.032000000000152795,37.181462177303416
50,0.1,0,AR2,pcglassoFast_PrimalDual,C,6.309573444801935e-4,0.027000000000043656,37.181571855064895
50,0.1,0,AR2,pcglassoFast_PrimalDual,C,0.010000000000000004,0.01999999999998181,37.18498560227786
50,0.1,0,AR2,pcglassoFast_PrimalDual,I,9.999999999999982e-9,0.057500000000118234,37.18144845212284
50,0.1,0,AR2,pcglassoFast_PrimalDual,I,1.5848931924611096e-7,0.05349999999998545,37.181448508300434
50,0.1,0,AR2,pcglassoFast_PrimalDual,I,2.5118864315095806e-6,0.04300000000012005,37.18144967248544
50,0.1,0,AR2,pcglassoFast_PrimalDual,I,3.98107170553497e-5,0.037500000000136424,37.18145885191536
50,0.1,0,AR2,pcglassoFast_PrimalDual,I,6.309573444801935e-4,0.028000000000247383,37.18171986192718
50,0.1,0,AR2,pcglassoFast_PrimalDual,I,0.010000000000000004,0.023000000000024556,37.183893828639576
50,0.1,0,hub_09,pcglasso,C,9.999999999999982e-9,0.10350000000005366,43.586357467040656
50,0.1,0,hub_09,pcglasso,C,1.5848931924611096e-7,0.08149999999989177,43.586357554156336
50,0.1,0,hub_09,pcglasso,C,2.5118864315095806e-6,0.06349999999997635,43.58638601046275
50,0.1,0,hub_09,pcglasso,C,3.98107170553497e-5,0.030499999999960892,43.59546446618718
50,0.1,0,hub_09,pcglasso,C,6.309573444801935e-4,0.011499999999841748,44.889027893948416
50,0.1,0,hub_09,pcglasso,C,0.010000000000000004,0.005999999999858119,53.92392846519867
50,0.1,0,hub_09,pcglasso,I,9.999999999999982e-9,0.10050000000001091,43.58635747483086
50,0.1,0,hub_09,pcglasso,I,1.5848931924611096e-7,0.07899999999995089,43.58635755722834
50,0.1,0,hub_09,pcglasso,I,2.5118864315095806e-6,0.0625,43.58639153982939
50,0.1,0,hub_09,pcglasso,I,3.98107170553497e-5,0.02500000000009095,43.60591022979497
50,0.1,0,hub_09,pcglasso,I,6.309573444801935e-4,0.007500000000050022,44.097914052864
50,0.1,0,hub_09,pcglasso,I,0.010000000000000004,0.006500000000073669,44.001696923714576
50,0.1,0,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,0.07600000000002183,43.58635747170696
50,0.1,0,hub_09,pcglassoFast_Dual,C,1.5848931924611096e-7,0.06149999999990996,43.58635761377257
50,0.1,0,hub_09,pcglassoFast_Dual,C,2.5118864315095806e-6,0.047999999999774445,43.58635887758703
50,0.1,0,hub_09,pcglassoFast_Dual,C,3.98107170553497e-5,0.03599999999994452,43.58639494551258
50,0.1,0,hub_09,pcglassoFast_Dual,C,6.309573444801935e-4,0.02400000000000091,43.586680644799706
50,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,0.016000000000076398,43.59196074887555
50,0.1,0,hub_09,pcglassoFast_Dual,I,9.999999999999982e-9,0.06149999999990996,43.5863574715412
50,0.1,0,hub_09,pcglassoFast_Dual,I,1.5848931924611096e-7,0.04800000000000182,43.586357554781415
50,0.1,0,hub_09,pcglassoFast_Dual,I,2.5118864315095806e-6,0.03550000000007003,43.58635897234978
50,0.1,0,hub_09,pcglassoFast_Dual,I,3.98107170553497e-5,0.02250000000003638,43.586385160142335
50,0.1,0,hub_09,pcglassoFast_Dual,I,6.309573444801935e-4,0.016000000000076398,43.58666978635436
50,0.1,0,hub_09,pcglassoFast_Dual,I,0.010000000000000004,0.009999999999990905,43.59386569897063
50,0.1,0,hub_09,pcglassoFast_Primal,C,9.999999999999982e-9,0.035000000000081855,43.586357469437154
50,0.1,0,hub_09,pcglassoFast_Primal,C,1.5848931924611096e-7,0.02949999999998454,43.586357528003745
50,0.1,0,hub_09,pcglassoFast_Primal,C,2.5118864315095806e-6,0.02549999999996544,43.58635891246677
50,0.1,0,hub_09,pcglassoFast_Primal,C,3.98107170553497e-5,0.02100000000007185,43.58637357049716
50,0.1,0,hub_09,pcglassoFast_Primal,C,6.309573444801935e-4,0.015499999999974534,43.58680526629657
50,0.1,0,hub_09,pcglassoFast_Primal,C,0.010000000000000004,0.011000000000080945,43.59219267041598
50,0.1,0,hub_09,pcglassoFast_Primal,I,9.999999999999982e-9,0.03300000000012915,43.58635746761963
50,0.1,0,hub_09,pcglassoFast_Primal,I,1.5848931924611096e-7,0.028999999999996362,43.58635757051738
50,0.1,0,hub_09,pcglassoFast_Primal,I,2.5118864315095806e-6,0.026499999999941792,43.586358617055055
50,0.1,0,hub_09,pcglassoFast_Primal,I,3.98107170553497e-5,0.02100000000007185,43.58638291268695
50,0.1,0,hub_09,pcglassoFast_Primal,I,6.309573444801935e-4,0.015000000000100044,43.58686412758561
50,0.1,0,hub_09,pcglassoFast_Primal,I,0.010000000000000004,0.010999999999967258,43.59108648068944
50,0.1,0,hub_09,pcglassoFast_PrimalDual,C,9.999999999999982e-9,0.04949999999996635,43.586357466587735
50,0.1,0,hub_09,pcglassoFast_PrimalDual,C,1.5848931924611096e-7,0.04600000000004911,43.58635749674397
50,0.1,0,hub_09,pcglassoFast_PrimalDual,C,2.5118864315095806e-6,0.03750000000002274,43.58635831484682
50,0.1,0,hub_09,pcglassoFast_PrimalDual,C,3.98107170553497e-5,0.03050000000007458,43.58636536387413
50,0.1,0,hub_09,pcglassoFast_PrimalDual,C,6.309573444801935e-4,0.02500000000009095,43.586437658256656
50,0.1,0,hub_09,pcglassoFast_PrimalDual,C,0.010000000000000004,0.021999999999934516,43.587418920373565
50,0.1,0,hub_09,pcglassoFast_PrimalDual,I,9.999999999999982e-9,0.05850000000009459,43.58635746574037
50,0.1,0,hub_09,pcglassoFast_PrimalDual,I,1.5848931924611096e-7,0.049500000000080036,43.58635754097584
50,0.1,0,hub_09,pcglassoFast_PrimalDual,I,2.5118864315095806e-6,0.044000000000096406,43.58635810983565
50,0.1,0,hub_09,pcglassoFast_PrimalDual,I,3.98107170553497e-5,0.036500000000046384,43.58637518920218
50,0.1,0,hub_09,pcglassoFast_PrimalDual,I,6.309573444801935e-4,0.028500000000121872,43.58651823356557
50,0.1,0,hub_09,pcglassoFast_PrimalDual,I,0.010000000000000004,0.019000000000005457,43.590734122369085
50,0.1,0,hub_1,pcglasso,C,9.999999999999982e-9,0.9304999999999382,13.02061700865756
50,0.1,0,hub_1,pcglasso,C,1.5848931924611096e-7,0.5834999999999582,13.020619540334428
50,0.1,0,hub_1,pcglasso,C,2.5118864315095806e-6,0.2650000000003274,13.021311358402354
50,0.1,0,hub_1,pcglasso,C,3.98107170553497e-5,0.08149999999989177,13.054621466212634
50,0.1,0,hub_1,pcglasso,C,6.309573444801935e-4,0.05400000000008731,16.641581343403427
50,0.1,0,hub_1,pcglasso,C,0.010000000000000004,0.027000000000043656,24.08982822089355
50,0.1,0,hub_1,pcglasso,I,9.999999999999982e-9,1.6100000000001273,13.020617009233813
50,0.1,0,hub_1,pcglasso,I,1.5848931924611096e-7,1.0380000000002383,13.02061937480333
50,0.1,0,hub_1,pcglasso,I,2.5118864315095806e-6,0.4579999999998563,13.021333098298637
50,0.1,0,hub_1,pcglasso,I,3.98107170553497e-5,0.03600000000005821,13.964306804541888
50,0.1,0,hub_1,pcglasso,I,6.309573444801935e-4,0.02299999999991087,15.339048967841974
50,0.1,0,hub_1,pcglasso,I,0.010000000000000004,0.010000000000104592,17.680177659518076
50,0.1,0,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,1.9384999999999764,13.020617053953359
50,0.1,0,hub_1,pcglassoFast_Dual,C,1.5848931924611096e-7,1.4540000000000646,13.020617989158882
50,0.1,0,hub_1,pcglassoFast_Dual,C,2.5118864315095806e-6,1.2174999999999727,13.02063189028947
50,0.1,0,hub_1,pcglassoFast_Dual,C,3.98107170553497e-5,0.7735000000000127,13.020867262744478
50,0.1,0,hub_1,pcglassoFast_Dual,C,6.309573444801935e-4,0.45250000000010004,13.024117925078022
50,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,0.14999999999997726,13.067598317600345
50,0.1,0,hub_1,pcglassoFast_Dual,I,9.999999999999982e-9,2.007000000000062,13.020617052983232
50,0.1,0,hub_1,pcglassoFast_Dual,I,1.5848931924611096e-7,1.3379999999999654,13.020624776541734
50,0.1,0,hub_1,pcglassoFast_Dual,I,2.5118864315095806e-6,1.2429999999999382,13.020631929594758
50,0.1,0,hub_1,pcglassoFast_Dual,I,3.98107170553497e-5,0.98050000000012,13.020863047569282
50,0.1,0,hub_1,pcglassoFast_Dual,I,6.309573444801935e-4,0.6030000000000655,13.024646326147252
50,0.1,0,hub_1,pcglassoFast_Dual,I,0.010000000000000004,0.34000000000003183,13.09304316376869
50,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,0.5469999999999118,13.020617403545334
50,0.1,0,hub_1,pcglassoFast_Primal,C,1.5848931924611096e-7,0.39350000000013097,13.02062329842678
50,0.1,0,hub_1,pcglassoFast_Primal,C,2.5118864315095806e-6,0.25250000000028194,13.020643390324418
50,0.1,0,hub_1,pcglassoFast_Primal,C,3.98107170553497e-5,0.19900000000006912,13.020739202382625
50,0.1,0,hub_1,pcglassoFast_Primal,C,6.309573444801935e-4,0.1369999999999436,13.022551183804389
50,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,0.07849999999984902,13.040640292588112
50,0.1,0,hub_1,pcglassoFast_Primal,I,9.999999999999982e-9,0.6704999999999472,13.020617455467889
50,0.1,0,hub_1,pcglassoFast_Primal,I,1.5848931924611096e-7,0.4230000000000018,13.02062319814504
50,0.1,0,hub_1,pcglassoFast_Primal,I,2.5118864315095806e-6,0.2980000000002292,13.02064087486195
50,0.1,0,hub_1,pcglassoFast_Primal,I,3.98107170553497e-5,0.227500000000191,13.02086014919529
50,0.1,0,hub_1,pcglassoFast_Primal,I,6.309573444801935e-4,0.17000000000007276,13.023818651563982
50,0.1,0,hub_1,pcglassoFast_Primal,I,0.010000000000000004,0.10700000000019827,13.0792193954295
50,0.1,0,hub_1,pcglassoFast_PrimalDual,C,9.999999999999982e-9,0.25650000000018736,13.0206170515562
50,0.1,0,hub_1,pcglassoFast_PrimalDual,C,1.5848931924611096e-7,0.2015000000001237,13.020617779653122
50,0.1,0,hub_1,pcglassoFast_PrimalDual,C,2.5118864315095806e-6,0.1614999999999327,13.020628358746178
50,0.1,0,hub_1,pcglassoFast_PrimalDual,C,3.98107170553497e-5,0.11899999999991451,13.020825976555912
50,0.1,0,hub_1,pcglassoFast_PrimalDual,C,6.309573444801935e-4,0.06599999999980355,13.023430842523526
50,0.1,0,hub_1,pcglassoFast_PrimalDual,C,0.010000000000000004,0.027000000000043656,13.05431964392023
50,0.1,0,hub_1,pcglassoFast_PrimalDual,I,9.999999999999982e-9,0.3224999999998772,13.020617047577787
50,0.1,0,hub_1,pcglassoFast_PrimalDual,I,1.5848931924611096e-7,0.28099999999994907,13.02061775421511
50,0.1,0,hub_1,pcglassoFast_PrimalDual,I,2.5118864315095806e-6,0.22899999999981446,13.020629974922638
50,0.1,0,hub_1,pcglassoFast_PrimalDual,I,3.98107170553497e-5,0.18100000000004002,13.020830573300593
50,0.1,0,hub_1,pcglassoFast_PrimalDual,I,6.309573444801935e-4,0.13899999999966894,13.023947887484187
50,0.1,0,hub_1,pcglassoFast_PrimalDual,I,0.010000000000000004,0.08599999999978536,13.073003453868914
50,0.1,0,random,pcglasso,C,9.999999999999982e-9,0.09799999999995634,37.66778766634397
50,0.1,0,random,pcglasso,C,1.5848931924611096e-7,0.07949999999993906,37.66778844011853
50,0.1,0,random,pcglasso,C,2.5118864315095806e-6,0.05950000000007094,37.66784075495174
50,0.1,0,random,pcglasso,C,3.98107170553497e-5,0.03000000000020009,37.67977798277451
50,0.1,0,random,pcglasso,C,6.309573444801935e-4,0.012000000000057298,38.9516776590481
50,0.1,0,random,pcglasso,C,0.010000000000000004,0.008000000000038199,50.621369449646934
50,0.1,0,random,pcglasso,I,9.999999999999982e-9,0.11099999999999,37.667787666916524
50,0.1,0,random,pcglasso,I,1.5848931924611096e-7,0.07399999999995543,37.66778880174608
50,0.1,0,random,pcglasso,I,2.5118864315095806e-6,0.055499999999938154,37.66787575175251
50,0.1,0,random,pcglasso,I,3.98107170553497e-5,0.03300000000001546,37.6812197237934
50,0.1,0,random,pcglasso,I,6.309573444801935e-4,0.010500000000092768,38.22170235977033
50,0.1,0,random,pcglasso,I,0.010000000000000004,0.006999999999948159,39.21250694643148
50,0.1,0,random,pcglassoFast_Dual,C,9.999999999999982e-9,0.04349999999999454,37.6677876667491
50,0.1,0,random,pcglassoFast_Dual,C,1.5848931924611096e-7,0.033999999999650754,37.66778805089001
50,0.1,0,random,pcglassoFast_Dual,C,2.5118864315095806e-6,0.02800000000002001,37.667791466549716
50,0.1,0,random,pcglassoFast_Dual,C,3.98107170553497e-5,0.024000000000114596,37.66782013109261
50,0.1,0,random,pcglassoFast_Dual,C,6.309573444801935e-4,0.019000000000005457,37.66814151958317
50,0.1,0,random,pcglassoFast_Dual,C,0.010000000000000004,0.016499999999950887,37.67177477300726
50,0.1,0,random,pcglassoFast_Dual,I,9.999999999999982e-9,0.040500000000065484,37.667787662949735
50,0.1,0,random,pcglassoFast_Dual,I,1.5848931924611096e-7,0.032000000000152795,37.66778774926581
50,0.1,0,random,pcglassoFast_Dual,I,2.5118864315095806e-6,0.028999999999996362,37.66779054848879
50,0.1,0,random,pcglassoFast_Dual,I,3.98107170553497e-5,0.019000000000005457,37.66782997864513
50,0.1,0,random,pcglassoFast_Dual,I,6.309573444801935e-4,0.014499999999998181,37.668406220803575
50,0.1,0,random,pcglassoFast_Dual,I,0.010000000000000004,0.011999999999943611,37.66954219867024
50,0.1,0,random,pcglassoFast_Primal,C,9.999999999999982e-9,0.04949999999985266,37.667787676418996
50,0.1,0,random,pcglassoFast_Primal,C,1.5848931924611096e-7,0.04350000000010823,37.667787892891546
50,0.1,0,random,pcglassoFast_Primal,C,2.5118864315095806e-6,0.03749999999990905,37.66779037406207
50,0.1,0,random,pcglassoFast_Primal,C,3.98107170553497e-5,0.029999999999972715,37.667828256216694
50,0.1,0,random,pcglassoFast_Primal,C,6.309573444801935e-4,0.024499999999989086,37.6685367074075
50,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,0.016000000000076398,37.679883108580896
50,0.1,0,random,pcglassoFast_Primal,I,9.999999999999982e-9,0.052999999999883585,37.667787675838866
50,0.1,0,random,pcglassoFast_Primal,I,1.5848931924611096e-7,0.04549999999994725,37.667787893062624
50,0.1,0,random,pcglassoFast_Primal,I,2.5118864315095806e-6,0.035499999999956344,37.66779218842014
50,0.1,0,random,pcglassoFast_Primal,I,3.98107170553497e-5,0.028999999999996362,37.66784583441854
50,0.1,0,random,pcglassoFast_Primal,I,6.309573444801935e-4,0.021000000000185537,37.66835766693737
50,0.1,0,random,pcglassoFast_Primal,I,0.010000000000000004,0.013000000000033651,37.68284646578981
50,0.1,0,random,pcglassoFast_PrimalDual,C,9.999999999999982e-9,0.05050000000005639,37.66778766067695
50,0.1,0,random,pcglassoFast_PrimalDual,C,1.5848931924611096e-7,0.043000000000006366,37.66778768323947
50,0.1,0,random,pcglassoFast_PrimalDual,C,2.5118864315095806e-6,0.03499999999996817,37.667788016894704
50,0.1,0,random,pcglassoFast_PrimalDual,C,3.98107170553497e-5,0.032999999999901775,37.66779375456757
50,0.1,0,random,pcglassoFast_PrimalDual,C,6.309573444801935e-4,0.02500000000009095,37.66790309689817
50,0.1,0,random,pcglassoFast_PrimalDual,C,0.010000000000000004,0.018000000000029104,37.67003554184429
50,0.1,0,random,pcglassoFast_PrimalDual,I,9.999999999999982e-9,0.051000000000044565,37.66778766132635
50,0.1,0,random,pcglassoFast_PrimalDual,I,1.5848931924611096e-7,0.04500000000007276,37.66778768548115
50,0.1,0,random,pcglassoFast_PrimalDual,I,2.5118864315095806e-6,0.03899999999998727,37.6677880296212
50,0.1,0,random,pcglassoFast_PrimalDual,I,3.98107170553497e-5,0.03250000000014097,37.66779487786228
