p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.1,0,AR2,pcglasso,C,9.999999999999982e-9,0.030374999999912687,6.052679192591538
10,0.1,0,AR2,pcglasso,C,3.5111917342151263e-8,0.026575000000048022,6.052679205190979
10,0.1,0,AR2,pcglasso,C,1.2328467394420646e-7,0.02136250000005475,6.0526795304431635
10,0.1,0,AR2,pcglasso,C,4.328761281083054e-7,0.018149999999923238,6.0526811926396915
10,0.1,0,AR2,pcglasso,C,1.5199110829529328e-6,0.01475000000007185,6.052699732330895
10,0.1,0,AR2,pcglasso,C,5.336699231206308e-6,0.011599999999839383,6.052870462695314
10,0.1,0,AR2,pcglasso,C,1.873817422860384e-5,0.007825000000002547,6.055324913426051
10,0.1,0,AR2,pcglasso,C,6.579332246575681e-5,0.0050500000001648,6.082355764511709
10,0.1,0,AR2,pcglasso,C,2.310129700083161e-4,0.0028250000000298314,6.35078304414227
10,0.1,0,AR2,pcglasso,C,8.11130830789687e-4,0.001962500000104228,6.444369969552863
10,0.1,0,AR2,pcglasso,C,0.002848035868435802,0.0020375000001649824,6.444369969552863
10,0.1,0,AR2,pcglasso,C,0.010000000000000004,0.0023500000001149602,6.444369969552863
10,0.1,0,AR2,pcglasso,I,9.999999999999982e-9,0.02986250000005839,6.052679190237629
10,0.1,0,AR2,pcglasso,I,3.5111917342151263e-8,0.027850000000103136,6.052679237103549
10,0.1,0,AR2,pcglasso,I,1.2328467394420646e-7,0.023075000000130786,6.052679521953027
10,0.1,0,AR2,pcglasso,I,4.328761281083054e-7,0.018225000000052206,6.052681268173506
10,0.1,0,AR2,pcglasso,I,1.5199110829529328e-6,0.015000000000145518,6.052717445031972
10,0.1,0,AR2,pcglasso,I,5.336699231206308e-6,0.012987500000235741,6.052868847470824
10,0.1,0,AR2,pcglasso,I,1.873817422860384e-5,0.008999999999991815,6.05671602825607
10,0.1,0,AR2,pcglasso,I,6.579332246575681e-5,0.005612500000074761,6.091214015488451
10,0.1,0,AR2,pcglasso,I,2.310129700083161e-4,0.0035750000000007278,6.200404472106728
10,0.1,0,AR2,pcglasso,I,8.11130830789687e-4,0.0019999999999072314,6.711477565489433
10,0.1,0,AR2,pcglasso,I,0.002848035868435802,0.001974999999811189,6.36349441034095
10,0.1,0,AR2,pcglasso,I,0.010000000000000004,0.0018624999999701686,6.771239674310476
10,0.1,0,AR2,pcglassoFast_Dual,C,9.999999999999982e-9,0.018287499999996727,6.052679210019032
10,0.1,0,AR2,pcglassoFast_Dual,C,3.5111917342151263e-8,0.016262500000038926,6.052679255268179
10,0.1,0,AR2,pcglassoFast_Dual,C,1.2328467394420646e-7,0.015187500000047293,6.052679401625701
10,0.1,0,AR2,pcglassoFast_Dual,C,4.328761281083054e-7,0.01446250000008149,6.0526799464278165
10,0.1,0,AR2,pcglassoFast_Dual,C,1.5199110829529328e-6,0.012637500000073488,6.052683051103792
10,0.1,0,AR2,pcglassoFast_Dual,C,5.336699231206308e-6,0.011487499999884677,6.052689190841336
10,0.1,0,AR2,pcglassoFast_Dual,C,1.873817422860384e-5,0.00994999999988977,6.052717687693469
10,0.1,0,AR2,pcglassoFast_Dual,C,6.579332246575681e-5,0.008775000000059662,6.052815146805276
10,0.1,0,AR2,pcglassoFast_Dual,C,2.310129700083161e-4,0.00745000000008531,6.053160014859615
10,0.1,0,AR2,pcglassoFast_Dual,C,8.11130830789687e-4,0.006124999999951797,6.054444424531385
10,0.1,0,AR2,pcglassoFast_Dual,C,0.002848035868435802,0.0047375000001466105,6.0595696384478
10,0.1,0,AR2,pcglassoFast_Dual,C,0.010000000000000004,0.003975000000127693,6.067075994432825
10,0.1,0,AR2,pcglassoFast_Dual,I,9.999999999999982e-9,0.01646250000026157,6.052679213519663
10,0.1,0,AR2,pcglassoFast_Dual,I,3.5111917342151263e-8,0.014274999999952343,6.052679277437217
10,0.1,0,AR2,pcglassoFast_Dual,I,1.2328467394420646e-7,0.013600000000064939,6.052679384754577
10,0.1,0,AR2,pcglassoFast_Dual,I,4.328761281083054e-7,0.012224999999966712,6.052680048249936
10,0.1,0,AR2,pcglassoFast_Dual,I,1.5199110829529328e-6,0.010900000000219734,6.052679379772193
10,0.1,0,AR2,pcglassoFast_Dual,I,5.336699231206308e-6,0.009999999999945431,6.052680366926273
10,0.1,0,AR2,pcglassoFast_Dual,I,1.873817422860384e-5,0.008512499999937972,6.052731987454177
10,0.1,0,AR2,pcglassoFast_Dual,I,6.579332246575681e-5,0.006850000000122236,6.0528269760875535
10,0.1,0,AR2,pcglassoFast_Dual,I,2.310129700083161e-4,0.006475000000000364,6.052856819439801
10,0.1,0,AR2,pcglassoFast_Dual,I,8.11130830789687e-4,0.005812500000047294,6.053050245558271
10,0.1,0,AR2,pcglassoFast_Dual,I,0.002848035868435802,0.005275000000142427,6.053420913083787
10,0.1,0,AR2,pcglassoFast_Dual,I,0.010000000000000004,0.004425000000333057,6.054553018540085
10,0.1,0,AR2,pcglassoFast_Primal,C,9.999999999999982e-9,0.02019999999997708,6.0526792186080165
10,0.1,0,AR2,pcglassoFast_Primal,C,3.5111917342151263e-8,0.01918749999990723,6.052679298637701
10,0.1,0,AR2,pcglassoFast_Primal,C,1.2328467394420646e-7,0.018975000000068576,6.052679498076645
10,0.1,0,AR2,pcglassoFast_Primal,C,4.328761281083054e-7,0.016924999999991995,6.052680452213404
10,0.1,0,AR2,pcglassoFast_Primal,C,1.5199110829529328e-6,0.01612500000003365,6.052683126080698
10,0.1,0,AR2,pcglassoFast_Primal,C,5.336699231206308e-6,0.015300000000138425,6.0526916593474915
10,0.1,0,AR2,pcglassoFast_Primal,C,1.873817422860384e-5,0.013912500000105864,6.052732865113787
10,0.1,0,AR2,pcglassoFast_Primal,C,6.579332246575681e-5,0.012512499999957072,6.052856249338787
10,0.1,0,AR2,pcglassoFast_Primal,C,2.310129700083161e-4,0.011575000000175351,6.053128826110065
10,0.1,0,AR2,pcglassoFast_Primal,C,8.11130830789687e-4,0.009387500000002547,6.053297657555718
10,0.1,0,AR2,pcglassoFast_Primal,C,0.002848035868435802,0.006500000000096406,6.054140733945121
10,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,0.004937499999937245,6.059636289395447
10,0.1,0,AR2,pcglassoFast_Primal,I,9.999999999999982e-9,0.01627500000004147,6.05267921744286
